counts_all1	counts_all2	counts_all3
3.95281915061822e-06	8.39806844425782e-06	6.59578397488325e-06
0	0	0
0	8.39806844425782e-06	0
0	0	0
0	0	0
0	8.39806844425782e-06	0
0	0	0
0	0	0
0	0	0
0	8.39806844425782e-06	0
0	8.39806844425782e-06	0
0	2.51942053327735e-05	0
0	2.51942053327735e-05	0
0	8.39806844425782e-06	0
3.95281915061822e-06	5.03884106655469e-05	0
1.18584574518547e-05	0.000109174889775352	0
7.90563830123644e-06	0.000125971026663867	0
1.58112766024729e-05	0.00019315557421793	3.95747038492995e-05
4.34810106568004e-05	0.000293932395549024	4.61704878241828e-05
7.1150744711128e-05	0.000411505353768633	8.57451916734823e-05
9.48676596148373e-05	0.000596262859542305	0.000112128327573015
0.000300414255446985	0.00110854503464203	0.000277022926945097
0.000541536223634696	0.00141087549863531	0.000224256655146031
0.00068779053220757	0.00235145916439219	0.000250639791045564
0.0013241944154571	0.0039218979634684	0.000230852439120914
0.00228077664990671	0.00775981524249423	0.000435321742342295
0.00468013787433197	0.0202729372244384	0.00058702477376461
0.0135897922398254	0.0538904052068024	0.00126639052317758
0.0994529298295544	0.175628805374764	0.00192596892066591
0.49463207159346	0.431870669745958	0.00340342453103976
0.320617114125795	0.197875288683603	0.0058702477376461
0.0453190715618379	0.0591559941213521	0.00961665303537979
0.00667235872624356	0.0213982783959689	0.01638392739361
0.00327293425671189	0.00895234096157884	0.0304791177479355
0.00234402175631661	0.00413184967457485	0.0784964250850856
0.00153764664959049	0.00248582825950031	0.466401076431945
0.000924959681244664	0.00149485618307789	0.253799171569533
0.000632451064098915	0.0010161662817552	0.0682531725720919
0.000335989627802549	0.000797816502204493	0.0240350368044746
0.000166018404325965	0.000604660927986563	0.0119977310503126
9.88204787654555e-05	0.000436699559101407	0.00790834498588502
6.32451064098915e-05	0.000352718874658828	0.00550747961902752
2.76697340543275e-05	0.000243543984883477	0.00408279028045274
7.1150744711128e-05	0.00026873819021625	0.00276363348547608
4.34810106568004e-05	0.000260340121771992	0.00174128696936918
2.76697340543275e-05	0.000117572958219609	0.00106851700393109
3.95281915061822e-05	9.2378752886836e-05	0.000758515157111574
7.90563830123644e-06	0.000125971026663867	0.000461704878241828
7.90563830123644e-06	3.35922737770313e-05	0.000270427142970213
3.95281915061822e-06	8.39806844425782e-06	0.000250639791045564
3.95281915061822e-06	8.39806844425782e-06	0.000125319895522782
7.90563830123644e-06	8.39806844425782e-06	0.000131915679497665
3.95281915061822e-06	8.39806844425782e-06	0.000118724111547899
3.95281915061822e-06	0	9.89367596232488e-05
0	8.39806844425782e-06	7.91494076985991e-05
3.95281915061822e-06	0	4.61704878241828e-05
0	0	5.93620557739493e-05
3.95281915061822e-06	8.39806844425782e-06	3.29789198744163e-05
0	0	4.61704878241828e-05
0	0	1.31915679497665e-05
0	0	3.95747038492995e-05
0	0	0
0	0	1.31915679497665e-05
0	0	6.59578397488325e-06
0	0	1.31915679497665e-05
3.95281915061822e-06	0	3.29789198744163e-05
0	0	6.59578397488325e-06
0	0	1.31915679497665e-05
0	0	1.97873519246498e-05
3.95281915061822e-06	0	6.59578397488325e-06
0	0	0
0	0	0
0	0	0
0	0	6.59578397488325e-06
0	0	6.59578397488325e-06
0	0	6.59578397488325e-06
0	0	0
0	0	0
0	0	6.59578397488325e-06
0	0	0
0	0	0
0	0	0
0	0	6.59578397488325e-06
0	0	6.59578397488325e-06
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3.95281915061822e-06	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	6.59578397488325e-06
0	0	0
0	0	0
0	0	0
3.95281915061822e-06	8.39806844425782e-06	1.31915679497665e-05
